unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458767639,153.420022,24,0.74,54.42,0.80,81.02,0.73,82.84,0.76,72.76
1458767640,27.810892,8906,2.50,122.19,3.87,147.74,2.59,152.63,2.99,140.85
1458767641,128.664013,7731,4.45,149.20,6.97,186.24,4.75,180.67,5.39,172.04
1458767642,46.632111,25019,7.03,167.05,11.98,278.08,7.22,247.05,8.74,230.73
1458767643,32.694981,29747,9.07,283.58,17.40,428.96,9.05,292.12,11.84,334.89
1458767644,31.140762,32375,11.80,412.38,22.63,497.28,11.67,438.68,15.37,449.45
1458767645,30.588439,32482,14.19,467.76,27.88,667.31,13.76,510.49,18.61,548.52
1458767646,32.860556,30134,17.07,621.85,33.12,714.54,16.78,760.50,22.32,698.96
1458767647,32.284399,31083,19.42,684.16,37.51,909.74,18.78,760.50,25.24,784.80
1458767648,32.896267,30700,21.67,684.26,42.79,983.84,20.92,842.61,28.46,836.90
1458767649,32.889248,30295,25.72,966.18,46.77,983.84,24.24,926.70,32.24,958.91
1458767650,41.155452,14296,27.98,966.57,49.96,1355.29,28.45,1205.20,35.46,1175.69
1458767651,50.612190,27829,29.62,973.88,56.17,1417.40,30.13,1211.50,38.64,1200.93
1458767652,30.704921,32059,31.82,1040.48,61.18,1418.06,32.87,1211.05,41.96,1223.20
1458767653,34.822040,28923,33.42,1040.48,65.51,1511.44,34.61,1311.80,44.51,1287.91
1458767654,29.408861,29438,36.34,1385.64,69.82,1511.49,36.76,1311.80,47.64,1402.98
1458767655,44.049797,17548,41.02,1476.21,73.23,1652.13,39.40,1326.25,51.22,1484.86
1458767656,68.626016,19881,42.12,1476.21,78.85,1784.55,39.57,1387.26,53.51,1549.34
1458767657,27.376065,27083,43.49,1476.21,82.24,1784.55,43.90,1762.87,56.54,1674.54
1458767658,46.534307,27098,45.19,1594.51,85.58,1784.55,47.39,1763.72,59.39,1714.26
1458767659,31.010814,32198,46.71,1594.51,89.78,1824.19,49.50,1763.72,62.00,1727.47
1458767660,30.926715,31574,49.02,1594.51,92.85,1824.19,51.19,1763.72,64.35,1727.47
1458767661,34.172627,29758,50.75,1645.01,96.76,1857.47,53.85,1849.91,67.12,1784.13
1458767662,30.350509,32880,52.73,1804.02,100.54,1857.47,55.92,1849.91,69.73,1837.13
1458767663,33.299667,21757,54.75,1804.02,104.02,1857.47,57.10,1849.91,71.96,1837.13
1458767664,67.096777,17555,55.65,1804.02,109.11,1985.12,57.10,1849.91,73.95,1879.68
1458767665,46.180396,15925,56.96,1894.29,111.37,1985.12,62.89,1984.19,77.07,1954.53
1458767666,49.017693,27763,63.57,1925.99,112.98,1985.12,63.44,1984.19,80.00,1965.10
1458767667,31.873806,31421,65.20,1926.80,115.84,1985.12,64.93,1984.19,81.99,1965.37
1458767668,29.948901,33261,67.29,1926.80,118.54,1985.12,67.31,1984.19,84.38,1965.37
1458767669,36.773815,27257,69.41,1932.42,121.26,2019.95,69.00,1984.19,86.56,1978.85
1458767670,34.664207,28817,70.43,1932.42,124.45,2019.95,70.54,1987.64,88.47,1980.00
1458767671,35.746089,27851,71.40,1932.42,127.71,2019.95,71.81,2034.13,90.31,1995.50
1458767672,27.879804,31448,72.57,2019.28,131.20,2088.47,73.33,2034.13,92.37,2047.29
1458767673,37.745591,21547,78.82,2164.20,132.69,2088.47,74.77,2034.13,95.43,2095.60
1458767674,49.864882,26235,80.58,2165.81,135.31,2114.10,76.42,2034.13,97.44,2104.68
1458767675,40.890055,22039,82.04,2165.81,137.16,2114.10,78.37,2121.67,99.19,2133.86
1458767676,47.233204,23368,83.41,2166.00,139.18,2114.10,78.94,2121.67,100.51,2133.92
1458767677,29.918537,5615,83.78,2166.00,142.81,2225.87,78.66,2121.67,101.75,2171.18
1458767679,97.587869,28661,83.10,2166.00,148.24,2264.78,78.01,2121.67,103.12,2184.15
